Prinzip,Anhang,Begründung,Betroffenheit,Erfolgskriterium,Fundort,Guideline,Konformitätsstufe,Status
Operable,,Es gibt keine Mechanismen um Blöcke zu überspringen außer den Footer und vereinzelte Überschriften,"Cognitive, Physical/Motor, Visual",2.4.1 – Bypass Blocks,"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",2.4 – Navigable,A,Nicht Erfüllt
Robust,"Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust/image.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust/image%201.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust/image%202.png, Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Robust/image%203.png","Navigation: Ungültiges Attribut <div class=""col-1"" text-center> müsste <div class=""col-1 text-center""> sein

Meldeformular: <head> im Komponenten-Template
Der <head> gehört ausschließlich in das Root-Dokument (index.html)
Mehrfach gleiche IDs

Kontaktformular: Mehrfach gleiche IDs

FAQs: Mehrfach gleich IDs","Cognitive, Visual",4.1.1 – Parsing,"Impressum, Kontaktformular, Meldeformular, Navigation",4.1 – Compatible,A,Nicht Erfüllt
Understandable,,,,3.1.5 – Reading Level,Startseite,3.1 – Readable,AAA,Nicht Erfüllt
Operable,,,,2.4.13 – Focus Appearance,"Ansprechperson finden, Kontaktformular, Meldeformular, Navigation",2.4 – Navigable,AAA,Nicht Erfüllt
Perceivable,,,Auditory/Hearing,1.2.2 – Captions (Prerecorded),,1.2 – Time-based Media,A,NA
Perceivable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-5bf3/image.png,"Ansprechperson: Auswahl verschiebt sich. Text wird zu klein ","Cognitive, Visual",1.3.4 – Orientation,Ansprechperson finden,1.3 – Adaptable,AA,Nicht Erfüllt
Understandable,,,Cognitive,3.2.2 – On Input,,3.2 – Predictable,A,Erfüllt
Operable,,,"Cognitive, Physical/Motor, Visual",2.5.2 – Pointer Cancellation,,2.5 – Input Modalities,A,Erfüllt
Understandable,,,,3.1.3 – Unusual Words,"Datenschutzhinweise, FAQs, Kontaktformular, Startseite",3.1 – Readable,AAA,Nicht Erfüllt
Perceivable,,,Auditory/Hearing,1.4.2 – Audio Control,,1.4 – Distinguishable,A,NA
Understandable,,,Cognitive,3.2.3 – Consistent Navigation,,3.2 – Predictable,AA,Erfüllt
Operable,,,"Physical/Motor, Visual",2.5.4 – Motion Actuation,,2.5 – Input Modalities,A,NA
Operable,,,,2.2.6 – Timeouts,,2.2 – Enough Time,AAA,NA
Perceivable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Perceivable%203263-59c1/image.png,"Meldeformular: Modal am Anfang im DOM
Fehlermeldungen im Kontaktdatenblock, die zu anderen Feldern gehören
Checkbox-Label nicht korrekt verbunden
ID Duplikate + div im label

FAQs: Accordion Header als <p>
Keine programmatische Zuordnung zwischen Frage und Antwortbereich
Plus/Minus-Icon als alleiniger Statusindikator ohne Status-Attribut

Ansprechperson: leeres div im header <div class=""col-1""></div>

doppelten Ausgabe derselben Kontaktinformationen für mobile und Desktop-Ansichten

","Cognitive, Visual",1.3.2 – Meaningful Sequence,"Ansprechperson finden, Meldeformular",1.3 – Adaptable,A,Nicht Erfüllt
Understandable,,,,3.3.6 – Error Prevention (All),,3.3 – Input Assistance,AAA,NA
Perceivable,,,Auditory/Hearing,1.2.4 – Captions (Live),,1.2 – Time-based Media,AA,NA
Understandable,Analyse%20der%20HTW-Antidiskriminierungs-Webseite/Untitled/Understandable/image.png,Alle Seiten ist standardmäßig auf Englisch egal ob deutsch oder englisch eingestellt ist- problematisch für screenreader,"Cognitive, Visual",3.1.1 – Language of Page,"Ansprechperson finden, Datenschutzhinweise, FAQs, Impressum, Kontaktformular, Meldeformular, Navigation, Startseite",3.1 – Readable,A,Nicht Erfüllt
